film_name,osyear,release_year,duration,imdb_rating,imdb_votes,film_id
Heaven Can Wait,1943,1943,112,7.4,10272,7694bb35-bd99-4b9f-8616-e3c1c0462484
The Human Comedy,1943,1943,117,7.0,2044,e85d6ec9-cb6f-4daa-bf6d-876b7104b675
In Which We Serve,1943,1942,115,7.2,5442,af643708-8af7-43c3-9aeb-26be972a6288
Madame Curie,1943,1943,124,7.2,2779,a9dc092c-409a-4d55-a169-b514b7784136
The More the Merrier,1943,1943,104,7.7,6264,c8d03653-289f-422c-a385-fb2097fd2996
The Ox-Bow Incident,1943,1942,75,8.0,22189,5577eaba-960d-452f-a3f3-6a1bc66070a0
The Song of Bernadette,1943,1943,156,7.6,6554,7b8c91d7-b87f-4871-ad87-dec95f2fd0da
Watch on the Rhine,1943,1943,114,7.3,4246,1a4e8a94-150d-484a-8b25-959ab5dfc42e
Going My Way,1944,1944,126,7.1,11187,e8c09304-ad53-4c4d-9d08-72b059d37892
Double Indemnity,1944,1944,107,8.3,149399,c08eaccc-190e-4e88-bb31-e2a9ddf6f09c
Gaslight,1944,1944,114,7.8,26296,bd1cbfe3-80d9-4c20-81ee-1fcccdd3b2a4
Since You Went Away,1944,1944,177,7.5,4428,8eee9309-2368-44a0-b135-e1d857b03f3a
Wilson,1944,1944,154,6.4,1525,2591f82c-c979-47ab-9974-750661ef6a59
The Lost Weekend,1945,1945,101,7.9,35261,0b7a2648-33c4-4eed-b40d-86b581f69c9c
Anchors Aweigh,1945,1945,140,7.1,8298,a9713f3b-472e-4338-bd59-6021b65a9c75
The Bells of St. Marys,1945,1945,126,7.3,7546,f155c808-5944-457e-a02a-a21df320706a
Mildred Pierce,1945,1945,111,8.0,24288,6f3cf796-6ae0-4219-84c8-211dd3ec205d
Spellbound,1945,1945,111,7.5,46578,e285e8cf-d49c-48b8-b75f-20dcb3d82804
The Best Years of Our Lives,1946,1946,170,8.1,60810,0d07ce49-6844-4370-b4d7-10d9f02565ba
Henry V,1946,1944,137,7.1,6145,8be23af2-d367-4e60-aae1-77505db9de19
Its a Wonderful Life,1946,1946,130,8.6,420975,d17331c1-4d16-4d92-8718-629629129d7c
The Razors Edge,1946,1946,145,7.4,5770,3328143b-a27d-4cfc-b6d8-44086e698a9e
The Yearling,1946,1946,128,7.2,5658,c7fac549-3837-42a5-b768-9312e6104ee9
Gentlemans Agreement,1947,1947,118,7.2,15593,2de2c926-1509-4aca-bb49-6a2514c7ec7a
The Bishops Wife,1947,1947,109,7.6,15790,785f3b90-b888-4e90-9c85-5f7029845027
Crossfire,1947,1947,86,7.3,8030,17e1d9b6-6666-4a83-a898-c1a2472f3cf2
Great Expectations,1947,1946,118,7.8,23120,17b7b449-345b-4d36-8d67-65597db9d27f
Miracle on 34th Street,1947,1947,96,7.9,44012,ef10f104-3bb4-4576-be62-49bd89ffa349
Hamlet,1948,1948,154,7.6,16167,443109e2-d3c6-4b1d-9bec-3c732801d861
Johnny Belinda,1948,1948,102,7.8,4549,45588422-6266-430e-b2e1-292fbf12e238
The Red Shoes,1948,1948,135,8.1,32804,75ddd507-9137-452e-b08c-89cbb2297bd8
The Snake Pit,1948,1948,108,7.6,7232,894290ac-2b55-458e-b4b6-c5978fc487c7
The Treasure of the Sierra Madre,1948,1948,126,8.2,119133,76320732-9fe8-40c8-9532-bf16a4b45483
All the Kings Men,1949,1949,110,7.5,14270,80c1f8b9-36f0-4648-9103-1a27b4b15d6f
Battleground,1949,1949,118,7.5,6970,8e1fd126-bcd3-4f20-bfa7-54bcc056dfe8
The Heiress,1949,1949,115,8.2,14871,27cd281b-e5bd-4b05-9634-8557891a9593
A Letter to Three Wives,1949,1949,103,7.7,9000,2c905a08-03f0-45e6-91e7-a9c9bc17826d
Twelve OClock High,1949,1949,132,7.7,13989,1a47efdd-746d-4c28-bd9f-15d2553c73ae
All About Eve,1950,1950,138,8.2,125426,95920d24-3ce7-41e7-bf13-35f70fa38da1
Born Yesterday,1950,1950,103,7.6,10597,7e8fd405-833d-4bba-821c-88f3601017a2
Father of the Bride,1950,1950,92,7.2,10742,f83ea7fe-8013-4f13-bda4-4458c4d177e1
King Solomons Mines,1950,1950,103,6.8,5929,da749acb-0277-4941-93b2-54dda27d75fb
Sunset Boulevard,1950,1950,110,8.4,210129,ed6d6f9d-2b4e-495e-bdfc-4b3c4f96ee5a
An American in Paris,1951,1951,114,7.2,31953,11fe2b71-cbc2-446f-a3d6-2c5b75ca4dd3
Decision Before Dawn,1951,1951,119,7.2,2596,1d36e03f-db5b-44e6-8cba-9c914bcb72f0
A Place in the Sun,1951,1951,122,7.8,21429,4ca1818a-9d22-4a5e-884e-4f892a2232ed
Quo Vadis,1951,1951,171,7.2,14371,493704e4-edf5-493c-ba97-ff530fe7332f
A Streetcar Named Desire,1951,1951,122,8.0,103781,2c848e08-0362-4305-b9c6-b52b3210b998
The Greatest Show on Earth,1952,1952,152,6.6,13797,cc4a95ef-5ae4-4c0a-8ccb-086764ef8c36
High Noon,1952,1952,85,8.0,100501,839c34d7-1b03-447d-b883-d03e35bd12c5
Ivanhoe,1952,1952,106,6.8,8627,0726de1a-97f7-4d02-8ebf-ede53d66faf7
Moulin Rouge,1952,1952,119,7.1,5284,ba1a50b8-ecb8-4626-b122-a29205c20a4f
The Quiet Man,1952,1952,129,7.8,36499,6e88383e-fac9-4946-a4fc-f4d0a9647c07
From Here to Eternity,1953,1953,118,7.6,45045,4053e1d8-c821-4247-a020-baca7eaef18d
Julius Caesar,1953,1953,120,7.3,11012,c809744c-13bb-4ded-b500-91b644ee825f
The Robe,1953,1953,135,6.8,9876,2ee37736-fd84-4b57-a9c9-df11a9e70329
Roman Holiday,1953,1953,118,8.0,132970,b732f88f-79d4-43c3-b355-02f7898d908f
Shane,1953,1953,118,7.6,38752,32b9e439-a62e-4fbc-b103-dd8cbbd34f5e
On the Waterfront,1954,1954,108,8.1,147893,6e80353a-6ace-497d-9c6c-1756457a6dc8
